./normal/GSM1112836.count	./normal/GSM916094.count	./cancer/CEMT_19.count	./cancer/CEMT_22.count	./cancer/CEMT_47.count
AC002480.4	10	39	661	465	0
AC002480.5	0	7	933	1200	150
AC002485.1	0	0	0	0	0
AC002486.2	13	55	0	0	0
AC002486.3	1	1	0	0	0
AC002511.1	2	9	1049	1816	536
AC002511.2	0	6	150	976	2559
AC002511.3	0	8	1046	1107	3632
AC002519.6	45	570	1268	533	1401
AC002519.8	2	13	2398	1500	1044
AC002523.1	0	0	0	0	0
AC002539.1	0	4	492	251	17
AC002539.2	0	0	0	0	0
AC002542.2	0	0	339	59	429
AC002543.2	0	45	2683	5848	2651
AC002550.5	1	20	105664	91392	163627
AC002551.1	2	58	234	1429	575
AC002553.1	1	181	1131	1124	529
AC002553.4	0	3	341	350	538
AC002558.1	0	0	11807	11656	18843
AC002978.1	0	3	164	37	750
AC002979.1	0	4	576	342	761
AC002981.1	0	4	19	0	0
AC002984.2	0	42	566	3328	253
AC002985.3	0	0	682136	471608	1055713
AC002992.1	0	1	0	0	64
AC002994.1	0	0	59700	79195	87075
AC003001.1	0	0	6452	3438	8775
AC003002.4	0	0	21919	13489	29622
AC003002.6	0	5	53265	27772	64232
AC003003.5	1	122	2584	850	791
AC003005.2	0	8	3749	827	1594
AC003005.4	0	0	44070	17029	38007
AC003006.1	0	4	53	313	180
AC003006.7	0	0	37415	17553	65608
AC003009.1	0	1	525	0	101
AC003009.2	7	22	797	402	375
AC003029.1	0	0	160962	237145	198843
AC003035.1	1	0	0	0	0
AC003043.1	0	0	0	32	0
AC003045.1	0	0	0	0	0
AC003051.1	4	15	158	0	225
AC003075.4	16	34	12654	8552	7037
AC003079.1	0	1	113	0	0
AC003080.4	0	37	1993	750	1359
AC003084.2	0	3	0	223	0
AC003088.1	0	1	0	0	234
AC003090.1	6	48	11503	825	1219
AC003092.1	0	0	0	0	0
AC003092.2	0	0	0	0	0
AC003101.1	2	7	150	75	29
AC003102.1	0	0	351	553	525
AC003102.3	214	607	248890	163631	238388
AC003104.1	4	3	10536	11118	5763
AC003658.1	0	0	0	0	0
AC003664.1	0	1	277	0	0
AC003665.1	74	96	117158	117640	233010
AC003666.1	0	0	0	0	0
AC003681.1	0	0	85	39	137
AC003682.16	2	84	748	1218	441
AC003682.17	5	16	1563	225	876
AC003956.1	0	4	1452	386	381
AC003958.2	0	1	75	375	0
AC003958.6	0	0	0	0	0
AC003968.1	0	0	0	0	0
AC003973.1	0	0	1585	4212	5177
AC003973.4	0	0	404	1535	366
AC003973.5	0	0	75	0	75
AC003973.6	0	8	300	950	3480
AC003984.1	0	0	150	0	0
AC003985.1	0	0	0	0	0
AC003986.5	0	5	1817	0	0
AC003986.6	0	3	300	0	106
AC003986.7	0	1	0	0	225
AC003988.1	0	2	0	0	0
AC003989.3	0	10	410	150	169
AC003989.4	0	3	352	700	788
AC003991.3	1	22	20098	13072	29626
AC004000.1	12	17	212	76	0
AC004004.2	0	1	303	282	0
AC004006.2	0	0	0	0	0
AC004009.3	0	0	0	0	0
AC004012.1	0	0	150	440	0
AC004014.3	0	0	0	0	0
AC004014.4	11	73	0	0	67
AC004016.1	1	0	0	0	0
AC004016.2	1	0	312	225	0
AC004017.1	2	59	3121	1683	3186
AC004019.10	402	272	21345	35278	2974
AC004019.13	206	370	128217	65236	13020
AC004019.18	0	0	160537	111081	113766
AC004022.7	0	0	0	174	166
AC004022.8	0	6	607	900	300
AC004041.2	8	20	183483	96537	267899
AC004051.2	0	1	1453	150	225
AC004052.1	0	0	0	0	0
AC004053.1	1	26	17583	5836	19634
AC004054.1	0	4	0	0	75
AC004057.1	5	3	3707764	10616150	3211031
AC004062.2	0	0	0	0	0
AC004063.1	0	2	0	0	88
AC004066.2	0	0	1800	1050	1014
AC004066.3	0	1	6226	2446	2838
AC004067.5	0	42	8711	944	1168
AC004069.1	3	19	0	0	0
AC004069.2	0	30	8491	4079	7479
AC004070.1	0	0	0	0	0
AC004074.3	182	239	174616	235874	389738
AC004074.4	0	0	0	0	0
AC004076.7	2	43	26656	4821	27431
AC004076.9	0	23	94577	103283	183098
AC004079.1	0	0	0	0	0
AC004112.4	1	17	4723	2789	2567
AC004112.5	0	0	150	0	0
AC004112.7	0	2	150	0	0
AC004125.3	0	2	75	0	0
AC004129.7	0	0	0	0	0
AC004129.9	0	1	0	0	0
AC004156.3	1	11	2099	6707	5412
AC004158.2	0	60	413947	156985	381964
AC004158.3	6	1081	877685	335292	755139
AC004159.1	0	5	0	0	129
AC004160.4	20	51	23650	3988	37392
AC004166.6	32	97	82478	84446	67744
AC004221.2	0	65	4922	7424	4139
AC004231.2	6	16	747	745	677
AC004237.1	4	19	3240	3116	2510
AC004257.1	0	18	283	396	310
AC004257.3	4	240	54158	35856	56426
AC004381.6	0	118	800250	798032	1725049
AC004381.7	0	3	866	698	118
AC004383.3	39	53	3840	2385	2003
AC004386.3	0	0	0	0	67
AC004386.4	479	2568	0	0	0
AC004410.3	0	18	399	825	94
AC004447.2	67	1100	876571	440151	1212793
AC004448.2	0	52	4538	6069	9771
AC004448.5	2	31	27063	39842	33327
AC004449.6	0	27	825	1017	1155
AC004453.8	4575	10281	4189920	13053590	12756060
AC004458.1	0	0	123	0	0
AC004460.1	0	0	0	2	0
AC004461.4	2	11	697	1369	1813
AC004463.6	65	141	14231	16483	13826
AC004466.1	1	102	31027	41102	87324
AC004471.10	8	17	6995	6245	6365
AC004471.9	3	7	2971	2182	5046
AC004485.3	0	3	567	674	0
AC004490.1	0	8	54956	14442	52464
AC004492.1	0	7	0	7	29
AC004510.3	0	0	449	107	0
AC004520.1	0	0	0	0	0
AC004528.1	0	0	10	7	0
AC004528.4	0	4	79	168	0
AC004535.2	0	0	0	0	0
AC004538.3	39	123	57391	11441	83415
AC004540.4	6	47	206794	290090	2322
AC004540.5	82	349	400134	266938	7716
AC004543.1	0	0	3305	417	0
AC004543.2	0	1	172	15	0
AC004549.6	1	7	38804	21911	50279
AC004552.1	2	0	0	0	0
AC004562.1	2	4	2892	8491	2129
AC004593.3	1	2	1678	0	66
AC004595.1	0	0	0	0	0
AC004603.4	7	587	1707	779	307
AC004623.2	0	0	342071	176082	267225
AC004637.1	0	4	1198	1150	379
AC004655.1	0	0	0	69	0
AC004656.1	1	4	0	171	66
AC004673.1	2	1	0	0	0
AC004691.5	0	5	618	326	87
AC004692.4	6	40	2365	683	323
AC004692.5	1	34	616	1149	150
AC004699.1	0	0	0	0	0
AC004702.2	0	13	706	352	31
AC004706.1	0	0	129794	111595	169258
AC004744.3	5	14	363	240	517
AC004745.1	0	0	0	0	0
AC004769.1	0	0	0	0	0
AC004771.1	0	0	7747	6482	19838
AC004775.5	10	10	600	900	300
AC004791.2	0	2	0	0	1
AC004797.1	172	321	468700	184599	426128
AC004812.1	4	6	70	524	11
AC004817.1	1	44	1208	0	0
AC004824.1	0	0	13913	3797	20230
AC004824.2	4	3	66	0	0
AC004832.1	0	0	450	1046	150
AC004837.3	0	0	11936	4032	5699
AC004837.4	0	0	11670	3255	5894
AC004837.5	0	6	2210	359	1492
AC004840.8	0	2	897	841	679
AC004840.9	259	723	65228	55291	55451
AC004851.1	2	8	971	581	291
AC004854.4	9	21	1186	7687	592
AC004854.5	3	9	845	889	926
AC004862.6	2	11	1296	4806	2699
AC004866.1	0	0	0	0	0
AC004866.3	0	0	0	0	0
AC004869.2	0	0	0	0	0
AC004869.3	0	0	0	0	0
AC004870.3	0	0	39	0	0
AC004870.4	0	0	749	150	0
AC004870.5	0	0	0	0	478
AC004875.1	0	0	0	0	0
AC004878.2	0	0	3641	7896	2058
AC004878.3	0	0	18401	24720	20782
AC004878.5	0	7	29362	37572	22975
AC004878.6	0	5	30759	30146	14892
AC004878.7	8	6	85	1775	318
AC004878.8	0	0	894	2505	458
AC004889.1	0	0	606	1350	1200
AC004893.10	5	47	4317	3071	3831
AC004893.11	8	390	141478	66522	89943
AC004895.1	0	0	0	0	0
AC004895.4	0	7	1225	2468	1300
AC004899.1	4	21	91608	20095	23250
AC004899.3	16	23	22008	5332	6196
AC004901.1	0	0	371	0	0
AC004906.3	0	5	1439	430	166
AC004911.2	0	0	152	75	0
AC004917.1	0	0	56727	31452	116678
AC004920.2	0	1	0	0	0
AC004920.3	0	0	0	0	0
AC004924.1	0	0	434	0	225
AC004938.5	0	0	0	341	0
AC004941.3	2	25	3816	1089	840
AC004941.5	97	278	0	64	92
AC004943.1	0	0	2763	2061	3781
AC004945.1	0	3	361	150	800
AC004947.2	0	8	10075	4072	75
AC004951.5	15	44	115640	56207	76332
AC004951.6	113	302	58545	67240	26287
AC004967.7	23	293	16853	17319	26797
AC004969.1	0	0	0	95	0
AC004980.1	0	0	2	0	123
AC004980.10	0	9	9024	5947	11911
AC004980.11	2	10	20690	15488	10065
AC004980.7	3	212	120485	110552	250404
AC004980.8	0	0	75	455	0
AC004980.9	0	12	1446	3058	2036
AC004985.12	8	14	91233	57547	40144
AC004987.10	0	0	8642	3899	8521
AC004987.9	152	696	195301	104709	139600
AC004988.1	8	34	450	450	825
AC005000.1	0	0	367233	275135	502553
AC005000.2	0	0	120	165	136
AC005003.1	335	440	46079	35491	47631
AC005007.3	0	1	795	1586	375
AC005008.2	0	0	0	0	0
AC005008.3	0	0	150	0	0
AC005009.1	0	12	1609	319	224
AC005009.2	0	13	189199	3422	8981
AC005013.1	0	1	1090587	418553	112157
AC005013.5	2	20	41051	4734	4697
AC005014.5	31	371	5106	900	1875
AC005017.2	0	0	0	0	0
AC005019.2	0	2	0	0	0
AC005019.3	0	0	190	0	0
AC005020.1	0	0	0	18	71
AC005022.1	2	1	421	275	300
AC005027.3	4	6	153	31	0
AC005029.1	0	2	172	270	675
AC005033.6	0	2	0	0	0
AC005034.2	0	0	0	0	0
AC005034.3	43	109	358	150	312
AC005037.1	0	0	0	338	0
AC005037.2	0	0	0	0	0
AC005037.3	0	1	49761	53260	56184
AC005037.4	3	8	25	133	549
AC005037.6	0	0	0	150	0
AC005040.3	0	0	0	0	0
AC005041.11	1	4	75	75	150
AC005041.17	3	0	34	377	225
AC005042.2	1	0	375	450	2362
AC005042.3	0	1	59	0	0
AC005042.4	29	64	72824	51145	135317
AC005042.5	1	0	75	0	0
AC005048.1	0	0	0	0	0
AC005062.2	6	29	1742838	2921872	3330660
AC005071.1	0	1	7525	4051	5666
AC005076.5	0	93	15632	19543	16477
AC005077.12	4	35	1283	172	1599
AC005077.14	0	3	9165	1350	2775
AC005077.5	0	0	18	0	0
AC005077.7	0	4	1201	525	1125
AC005077.8	0	5	54	0	0
AC005077.9	0	0	47	0	0
AC005082.1	5	17	2293	5378	13928
AC005082.12	16	43	3238	1420	665
AC005083.1	0	6	1627	3333	897
AC005086.1	0	14	978	1038	310
AC005086.2	0	6	222	460	75
AC005086.3	1	48	1189	1619	520
AC005086.4	1	36	88	256	425
AC005088.1	0	0	23	37	12
AC005094.2	0	0	0	0	0
AC005102.1	9	14	0	0	0
AC005104.3	1	19	208807	198070	322012
AC005105.2	0	7	0	150	0
AC005150.1	0	3	116	0	0
AC005152.3	17	15	2177	4159	2571
AC005154.6	1658	5166	2775803	2116613	4721685
AC005154.7	57	238	65859	43217	103362
AC005154.8	0	6	4151	1344	5126
AC005159.1	0	3	694	54	16
AC005160.3	0	0	119	0	274
AC005161.1	0	0	0	0	0
AC005162.4	0	5	107	75	0
AC005162.5	7	45	523	376	358
AC005176.1	0	0	0	0	0
AC005176.2	0	0	0	0	0
AC005176.3	0	0	0	0	0
AC005178.1	0	0	0	0	0
AC005189.6	2	7	464	283	216
AC005195.1	0	1	0	79	0
AC005197.2	11	421	13287	18667	6051
AC005215.1	1	1	151	302	223
AC005220.3	1	94	28696	20815	20219
AC005224.2	0	30	10259	5012	12702
AC005229.1	1	19	1781	2062	3126
AC005229.5	0	0	0	0	0
AC005229.7	5	788	299	75	0
