symbol  TSC1	TSC2	MSC1	MSC2	NPC1	NPC2	ESC1	ESC2	MES1	MES2
AC000081.2	0	0	0	0	0	0	0	0	0	0
AC000089.3	3193	3929	4833	4874	8945	8831	4005	4510	5216	5216
AC000095.9	0	0	0	0	0	0	0	0	0	0
AC000099.1	0	0	0	2	0	2	0	0	0	0
AC000110.1	659	779	761	819	1142	1100	626	662	1153	1153
AC000111.3	0	0	0	0	0	0	0	0	0	0
AC000111.4	0	0	0	0	0	0	2	0	0	0
AC000111.5	0	0	0	0	0	0	0	0	0	0
AC000111.6	3	6	1	0	0	0	0	2	0	0
AC000120.7	32	40	26	21	127	173	51	44	23	23
AC000123.4	93	102	57	73	125	121	17	25	6	6
AC000124.1	0	1	0	0	0	0	0	4	0	0
AC000362.1	0	0	0	0	0	0	0	0	0	0
AC000367.1	0	0	0	2	0	0	0	0	0	0
AC000370.2	0	0	0	0	0	0	0	0	0	0
AC000374.1	0	0	0	0	0	0	0	0	2	2
AC000403.1	0	0	0	0	0	0	0	0	0	0
AC002044.4	11	10	0	1	5	12	0	0	9	9
AC002055.4	1257	1487	3263	3486	2582	2634	482	611	913	913
AC002056.3	2765	3197	1318	1338	4218	4398	4308	4704	6880	6880
AC002056.5	0	0	4	0	7	10	0	0	0	0
AC002059.10	7	7	2	11	0	1	2	11	46	46
AC002064.4	9	8	6	3	94	87	48	51	36	36
AC002064.5	4	0	0	0	13	15	0	5	8	8
AC002066.1	4	0	25	13	0	0	1	8	10	10
AC002066.2	0	0	0	0	0	0	0	0	0	0
AC002069.5	1383	1554	750	710	3091	3062	1970	2380	2726	2726
AC002069.6	113	127	47	57	169	121	97	94	140	140
AC002070.1	0	0	0	0	0	0	3	0	0	0
AC002075.3	0	0	1	0	0	0	2	0	0	0
AC002075.4	50	50	76	81	122	112	70	86	73	73
AC002076.10	2	2	6	9	24	24	36	27	42	42
AC002115.5	0	0	0	0	10	14	10	1	2	2
AC002115.9	0	0	0	0	4	1	2	7	5	5
AC002116.7	30	30	8	5	35	48	108	125	64	64
AC002116.8	0	0	0	0	0	0	0	0	0	0
AC002117.1	12	13	18	13	35	34	15	11	9	9
AC002127.2	0	0	0	0	0	0	0	0	0	0
AC002127.4	0	0	0	0	2	0	0	0	0	0
AC002128.4	2	20	4	3	14	38	54	44	70	70
AC002128.5	28	44	0	0	17	40	95	75	36	36
AC002306.1	3	0	0	0	12	15	13	3	1	1
AC002310.10	108	78	112	94	191	190	162	163	285	285
AC002310.12	188	225	92	103	1128	1174	394	554	557	557
AC002310.13	0	0	0	0	0	0	0	0	0	0
AC002310.17	9	24	5	7	49	55	126	74	66	66
AC002310.7	3	3	0	2	17	18	18	13	6	6
AC002314.4	1	11	3	3	23	23	8	5	11	11
AC002331.1	0	0	0	0	0	0	92	67	28	28
AC002365.1	27	24	23	8	14	10	28	43	32	32
AC002366.3	0	0	0	0	0	0	0	0	0	0
AC002368.4	0	3	0	0	0	0	0	0	0	0
AC002383.2	0	0	0	0	0	0	0	0	0	0
AC002386.1	2	0	0	0	0	0	0	2	0	0
AC002395.1	1	0	1	0	2	1	2	0	0	0
AC002398.11	175	246	484	394	391	325	355	330	217	217
AC002398.12	0	0	0	0	0	0	0	0	0	0
AC002398.13	23	31	35	36	48	57	28	16	17	17
AC002398.5	5	8	15	21	135	123	71	71	10	10
AC002398.9	0	0	0	0	0	0	0	0	0	0
AC002400.1	14	18	12	0	62	48	23	25	13	13
AC002401.1	1	4	4	0	2	10	1	0	0	0
AC002429.4	0	0	0	0	0	0	0	1	0	0
AC002429.5	2	0	2	1	9	19	21	13	0	0
AC002451.1	0	0	2	0	1	0	6	5	12	12
AC002451.3	0	0	3	9	0	0	0	2	2	2
AC002454.1	163	159	111	119	54	33	11	39	119	119
AC002456.2	16	20	12	21	158	168	107	114	111	111
AC002463.3	0	0	3	1	0	0	1	0	0	0
AC002465.2	0	0	0	0	0	0	0	0	2	2
AC002467.7	119	179	96	173	361	367	158	215	271	271
AC002472.1	4	6	6	13	39	43	5	13	1	1
AC002472.11	0	2	1	0	1	0	0	0	0	0
AC002472.13	5	6	7	1	4	18	8	1	6	6
AC002477.1	15	8	16	6	60	52	6	9	10	10
AC002480.2	242	289	20	15	0	0	93	90	630	630
AC002480.3	112	92	1736	1811	24	21	147	121	152	152
AC002480.4	13	2	251	236	5	0	48	49	8	8
AC002480.5	11	10	10	18	0	0	10	3	16	16
AC002485.1	0	0	0	0	0	0	0	0	0	0
AC002486.2	210	305	381	366	385	387	261	344	512	512
AC002486.3	0	0	2	0	27	23	4	4	0	0
AC002511.1	0	1	16	4	1	0	2	0	2	2
AC002511.2	0	0	30	43	0	0	0	0	0	0
AC002511.3	0	0	63	41	0	0	0	0	0	0
AC002519.6	2268	2936	2600	2713	3163	2845	1265	1474	2611	2611
AC002519.8	32	31	15	10	8	6	5	15	0	0
AC002523.1	4	1	0	0	0	0	0	0	0	0
AC002539.1	0	0	0	0	0	2	0	0	0	0
AC002539.2	0	0	0	0	0	0	0	0	0	0
AC002542.2	0	0	1	0	4	0	0	0	0	0
AC002543.2	2	9	4	0	1	18	14	7	2	2
AC002550.5	2	12	1	0	10	17	38	23	10	10
AC002551.1	2	1	4	0	2	4	2	5	2	2
AC002553.1	18	10	13	5	34	42	45	31	11	11
AC002553.4	5	0	1	0	0	0	2	4	0	0
AC002558.1	0	0	0	0	0	0	0	0	0	0
AC002978.1	0	0	0	0	0	1	0	4	0	0
AC002979.1	0	0	0	2	11	8	6	5	7	7
AC002981.1	0	0	0	0	0	0	1	0	0	0
AC002984.2	3	4	0	4	10	6	6	2	0	0
AC002985.3	0	0	0	0	0	0	0	0	0	0
AC002992.1	0	3	0	0	3	5	0	3	0	0
AC002994.1	0	0	0	0	0	0	0	0	0	0
AC003001.1	0	0	0	0	0	0	0	0	0	0
AC003002.4	0	0	0	0	0	0	0	0	0	0
AC003002.6	11	26	9	17	34	29	2	8	3	3
AC003003.5	0	0	0	2	2266	2236	24	45	24	24
AC003005.2	3	16	1	3	12	11	12	11	8	8
AC003005.4	0	0	0	0	0	0	0	0	0	0
AC003006.1	5	3	0	0	2	0	0	0	0	0
AC003006.7	0	0	0	0	0	0	0	0	0	0
AC003009.1	2	0	0	0	0	2	89	75	56	56
AC003009.2	241	293	193	217	89	96	44	65	69	69
AC003029.1	0	0	0	0	0	0	0	0	0	0
AC003035.1	0	0	0	0	0	0	0	0	0	0
AC003043.1	0	0	0	0	0	0	0	0	0	0
AC003045.1	0	0	0	0	0	0	0	0	0	0
AC003051.1	8	1	2	7	4	8	2	4	4	4
AC003075.4	9	6	30	50	6	1	4	11	30	30
AC003079.1	0	0	1	0	0	4	0	0	0	0
AC003080.4	0	0	0	0	0	0	5	4	4	4
AC003084.2	1	2	0	0	0	0	0	0	0	0
AC003087.4	0	0	0	0	0	0	0	1	0	0
